0 1 {'t': [0], 'w': [0.1]}
7 4 {'t': [7], 'w': [0.01]}
7 60 {'t': [14], 'w': [0.01]}
7 72 {'t': [19], 'w': [0.01]}
7 52 {'t': [21], 'w': [0.08819158862356152]}
7 41 {'t': [23], 'w': [0.001]}
7 51 {'t': [27], 'w': [0.001]}
7 54 {'t': [41], 'w': [0.11961197306357352]}
7 75 {'t': [54], 'w': [0.001]}
7 38 {'t': [66], 'w': [0.01]}
8 9 {'t': [0], 'w': [0.01]}
8 1 {'t': [4], 'w': [0.0226537216828479]}
8 17 {'t': [11], 'w': [0.01]}
8 43 {'t': [11], 'w': [0.01]}
8 55 {'t': [12], 'w': [0.01]}
8 57 {'t': [21], 'w': [0.0818788501026694]}
8 68 {'t': [21], 'w': [0.001]}
8 47 {'t': [24], 'w': [0.001]}
8 77 {'t': [38], 'w': [0.07669845053635278]}
8 64 {'t': [40], 'w': [0.01]}
8 74 {'t': [47], 'w': [0.09934688621102016]}
8 5 {'t': [51], 'w': [0.1]}
8 34 {'t': [53], 'w': [0.001]}
8 80 {'t': [54], 'w': [0.001]}
8 53 {'t': [60], 'w': [0.1]}
8 73 {'t': [63], 'w': [0.01]}
8 45 {'t': [64], 'w': [0.13903947021419988]}
9 39 {'t': [2], 'w': [0.016654330125832725]}
9 40 {'t': [10], 'w': [0.01]}
9 74 {'t': [11], 'w': [0.1]}
9 53 {'t': [11], 'w': [0.03666165559381214]}
9 16 {'t': [12], 'w': [0.001]}
9 2 {'t': [18], 'w': [0.1]}
9 33 {'t': [36, 53], 'w': [0.01, 0.01]}
9 36 {'t': [38, 47], 'w': [0.15014315078549403, 0.15014315078549403]}
9 50 {'t': [42], 'w': [0.001]}
9 15 {'t': [46], 'w': [0.001]}
9 71 {'t': [47], 'w': [0.001]}
9 22 {'t': [53], 'w': [0.001]}
9 32 {'t': [57], 'w': [0.14214815268672262]}
10 11 {'t': [0], 'w': [0.1]}
10 8 {'t': [0], 'w': [0.002048506235234312]}
10 12 {'t': [0], 'w': [0.0027052644050393013]}
10 55 {'t': [6], 'w': [0.001]}
10 6 {'t': [12], 'w': [0.01]}
10 40 {'t': [18], 'w': [0.1]}
10 27 {'t': [20], 'w': [0.01]}
10 24 {'t': [30], 'w': [0.01]}
10 3 {'t': [36], 'w': [0.1]}
10 53 {'t': [36], 'w': [0.1]}
10 38 {'t': [37], 'w': [0.001]}
10 20 {'t': [45], 'w': [0.001]}
11 25 {'t': [3], 'w': [0.01]}
11 65 {'t': [7], 'w': [0.07814261026373132]}
11 35 {'t': [14], 'w': [0.03380668804397618]}
11 48 {'t': [25], 'w': [0.26317216448260283]}
11 54 {'t': [27], 'w': [0.1]}
11 4 {'t': [28], 'w': [0.06789089347079036]}
11 37 {'t': [32], 'w': [0.038557407695902796]}
11 12 {'t': [32], 'w': [0.01]}
11 24 {'t': [34], 'w': [0.1]}
11 44 {'t': [37], 'w': [0.16871642321182792]}
11 64 {'t': [51], 'w': [0.1]}
11 68 {'t': [62], 'w': [0.01]}
11 79 {'t': [65], 'w': [0.001]}
11 63 {'t': [67], 'w': [0.1]}
12 14 {'t': [0], 'w': [0.0025138075927998733]}
12 62 {'t': [5], 'w': [0.01]}
12 31 {'t': [7], 'w': [0.05429108373355607]}
12 80 {'t': [7], 'w': [0.001]}
12 33 {'t': [19], 'w': [0.1]}
12 3 {'t': [26], 'w': [0.10826529875009029]}
12 25 {'t': [29], 'w': [0.07833276920845221]}
12 17 {'t': [30], 'w': [0.06757527604612312]}
12 67 {'t': [34], 'w': [0.10998901635342934]}
12 56 {'t': [38], 'w': [0.01]}
12 37 {'t': [38, 66], 'w': [0.09589833752475908, 0.09589833752475908]}
12 30 {'t': [46], 'w': [0.1]}
12 59 {'t': [51], 'w': [0.1]}
12 70 {'t': [56], 'w': [0.001]}
12 55 {'t': [58], 'w': [0.001]}
12 39 {'t': [63], 'w': [0.01]}
12 34 {'t': [64], 'w': [0.01]}
12 7 {'t': [67], 'w': [0.01]}
13 9 {'t': [0], 'w': [0.003527654753321668]}
13 81 {'t': [10], 'w': [0.01]}
13 1 {'t': [23], 'w': [0.1]}
13 12 {'t': [26], 'w': [0.01]}
13 8 {'t': [28, 36], 'w': [0.001, 0.001]}
13 76 {'t': [32], 'w': [0.1046006158304655]}
13 44 {'t': [42], 'w': [0.18137015495271502]}
13 73 {'t': [55], 'w': [0.01]}
13 67 {'t': [61], 'w': [0.001]}
13 16 {'t': [67], 'w': [0.1]}
14 23 {'t': [2], 'w': [0.001]}
14 35 {'t': [9], 'w': [0.1]}
14 6 {'t': [11], 'w': [0.1]}
14 78 {'t': [11, 35], 'w': [0.01, 0.01]}
14 67 {'t': [18], 'w': [0.1]}
14 43 {'t': [33], 'w': [0.1]}
14 15 {'t': [33], 'w': [0.001]}
14 25 {'t': [37], 'w': [0.1]}
14 66 {'t': [46], 'w': [0.0907220431019854]}
15 5 {'t': [0], 'w': [0.003800699106697007]}
15 2 {'t': [1], 'w': [0.00603719980467883]}
15 30 {'t': [8], 'w': [0.1]}
15 47 {'t': [10], 'w': [0.026197352135918686]}
15 10 {'t': [12], 'w': [0.01]}
15 79 {'t': [16], 'w': [0.0530236634531113]}
15 72 {'t': [25], 'w': [0.01]}
15 16 {'t': [25], 'w': [0.09733270940570893]}
15 34 {'t': [44], 'w': [0.1]}
15 76 {'t': [45, 53], 'w': [0.01, 0.01]}
15 9 {'t': [47], 'w': [0.001]}
15 8 {'t': [53], 'w': [0.06782499476658992]}
15 69 {'t': [57], 'w': [0.1]}
15 62 {'t': [66], 'w': [0.001]}
16 17 {'t': [0], 'w': [0.0027910198427250196]}
16 53 {'t': [2], 'w': [0.009820086319771111]}
16 75 {'t': [6], 'w': [0.001]}
16 58 {'t': [6], 'w': [0.01]}
16 28 {'t': [13], 'w': [0.01]}
16 25 {'t': [15], 'w': [0.1]}
16 29 {'t': [18], 'w': [0.001]}
16 35 {'t': [20], 'w': [0.045020613834173155]}
16 37 {'t': [20], 'w': [0.1]}
16 67 {'t': [24], 'w': [0.001]}
16 43 {'t': [29], 'w': [0.01]}
16 69 {'t': [37], 'w': [0.01]}
16 74 {'t': [37], 'w': [0.001]}
16 27 {'t': [54], 'w': [0.1]}
16 78 {'t': [56], 'w': [0.1]}
16 81 {'t': [60], 'w': [0.01]}
16 9 {'t': [62], 'w': [0.001]}
17 2 {'t': [12, 16], 'w': [0.001, 0.001]}
17 30 {'t': [16], 'w': [0.01]}
17 8 {'t': [23], 'w': [0.04091031430365741]}
17 24 {'t': [31], 'w': [0.062408007065057385]}
17 9 {'t': [56], 'w': [0.01]}
17 42 {'t': [57], 'w': [0.1580704503645159]}
17 43 {'t': [63], 'w': [0.1]}
17 78 {'t': [67], 'w': [0.1]}
18 19 {'t': [0], 'w': [0.01]}
18 15 {'t': [0], 'w': [0.1]}
18 66 {'t': [16], 'w': [0.001]}
18 36 {'t': [18], 'w': [0.001]}
18 44 {'t': [21], 'w': [0.01]}
18 68 {'t': [23], 'w': [0.1]}
18 51 {'t': [24], 'w': [0.001]}
18 14 {'t': [29], 'w': [0.05945063212169031]}
18 12 {'t': [34], 'w': [0.01]}
18 35 {'t': [40], 'w': [0.07287219422812642]}
18 16 {'t': [67], 'w': [0.1]}
19 32 {'t': [3], 'w': [0.1]}
19 53 {'t': [4], 'w': [0.01]}
19 27 {'t': [15], 'w': [0.01]}
19 13 {'t': [18], 'w': [0.001]}
19 72 {'t': [28], 'w': [0.01]}
19 59 {'t': [41], 'w': [0.001]}
19 58 {'t': [51, 52], 'w': [0.001, 0.001]}
19 74 {'t': [58], 'w': [0.1]}
20 21 {'t': [0], 'w': [0.001]}
20 83 {'t': [12], 'w': [0.1]}
20 27 {'t': [17], 'w': [0.01]}
20 3 {'t': [31], 'w': [0.001]}
20 8 {'t': [50], 'w': [0.01]}
20 26 {'t': [51], 'w': [0.01]}
20 34 {'t': [54], 'w': [0.01]}
21 25 {'t': [8], 'w': [0.028069242299695374]}
21 8 {'t': [14], 'w': [0.02758754747450582]}
21 13 {'t': [14], 'w': [0.1]}
21 46 {'t': [19], 'w': [0.1]}
21 20 {'t': [29], 'w': [0.01]}
21 28 {'t': [32], 'w': [0.01]}
21 9 {'t': [40], 'w': [0.10240498506540323]}
21 29 {'t': [41], 'w': [0.001]}
21 79 {'t': [47], 'w': [0.01]}
22 21 {'t': [0, 30], 'w': [0.01, 0.01]}
22 6 {'t': [6], 'w': [0.01]}
22 55 {'t': [12], 'w': [0.01]}
22 40 {'t': [17], 'w': [0.01]}
22 47 {'t': [40], 'w': [0.001]}
23 24 {'t': [0, 43], 'w': [0.07861716220194288, 0.07861716220194288]}
23 72 {'t': [6], 'w': [0.01]}
23 22 {'t': [10], 'w': [0.01]}
23 78 {'t': [15], 'w': [0.01]}
23 28 {'t': [18], 'w': [0.1]}
23 14 {'t': [18], 'w': [0.1]}
23 57 {'t': [20], 'w': [0.07883085215605751]}
23 80 {'t': [23], 'w': [0.15354396991974859]}
23 63 {'t': [24], 'w': [0.001]}
23 3 {'t': [24], 'w': [0.001]}
23 29 {'t': [34], 'w': [0.001]}
23 38 {'t': [36], 'w': [0.1]}
23 37 {'t': [44, 57], 'w': [0.01, 0.01]}
23 4 {'t': [49], 'w': [0.1]}
23 61 {'t': [56], 'w': [0.12977485454085508]}
23 36 {'t': [61], 'w': [0.01]}
23 55 {'t': [67], 'w': [0.12031747636621001]}
24 37 {'t': [4], 'w': [0.007399906527496497]}
24 34 {'t': [14], 'w': [0.1]}
24 1 {'t': [14, 55], 'w': [0.1, 0.1]}
24 79 {'t': [38], 'w': [0.09952569985049232]}
24 14 {'t': [44], 'w': [0.001]}
24 49 {'t': [49], 'w': [0.1]}
24 61 {'t': [51], 'w': [0.1]}
24 56 {'t': [53], 'w': [0.01]}
24 2 {'t': [55], 'w': [0.1]}
24 36 {'t': [61], 'w': [0.01]}
25 12 {'t': [1], 'w': [0.01]}
25 55 {'t': [3], 'w': [0.1]}
25 78 {'t': [8, 25], 'w': [0.1, 0.1]}
25 50 {'t': [24], 'w': [0.001]}
25 43 {'t': [26], 'w': [0.07184982738780209]}
25 62 {'t': [31], 'w': [0.11477684160660506]}
25 53 {'t': [32], 'w': [0.01]}
25 5 {'t': [37], 'w': [0.10542085113466126]}
25 18 {'t': [42, 63], 'w': [0.1735802274784525, 0.1735802274784525]}
25 41 {'t': [61], 'w': [0.001]}
26 27 {'t': [1], 'w': [0.01]}
26 0 {'t': [3], 'w': [0.017082031996940538]}
26 10 {'t': [10], 'w': [0.1]}
26 6 {'t': [16], 'w': [0.001]}
26 34 {'t': [17, 52], 'w': [0.1, 0.1]}
26 19 {'t': [36], 'w': [0.1372685865412871]}
26 23 {'t': [38], 'w': [0.001]}
26 83 {'t': [48], 'w': [0.1]}
26 63 {'t': [67], 'w': [0.1]}
27 65 {'t': [4], 'w': [0.001]}
27 79 {'t': [9], 'w': [0.03299479300922823]}
27 31 {'t': [19], 'w': [0.01]}
27 3 {'t': [19], 'w': [0.1]}
27 6 {'t': [43], 'w': [0.001]}
27 45 {'t': [44], 'w': [0.12263017552084858]}
27 37 {'t': [47], 'w': [0.01]}
27 72 {'t': [50], 'w': [0.1]}
27 42 {'t': [54], 'w': [0.15551543230905499]}
28 29 {'t': [1, 68], 'w': [0.01, 0.01]}
28 20 {'t': [7, 27, 37], 'w': [0.001, 0.001, 0.001]}
28 7 {'t': [10, 56], 'w': [0.01, 0.01]}
28 50 {'t': [14], 'w': [0.01]}
28 56 {'t': [15], 'w': [0.10505354932457889]}
28 22 {'t': [16], 'w': [0.001]}
28 15 {'t': [20], 'w': [0.01]}
28 45 {'t': [29], 'w': [0.001]}
28 11 {'t': [50], 'w': [0.09759370051029385]}
28 74 {'t': [55], 'w': [0.1]}
28 25 {'t': [60], 'w': [0.1]}
28 30 {'t': [60], 'w': [0.1]}
28 33 {'t': [61, 66], 'w': [0.28539136200608817, 0.28539136200608817]}
29 22 {'t': [7], 'w': [0.027030539311241077]}
29 2 {'t': [10], 'w': [0.001]}
29 57 {'t': [13], 'w': [0.1]}
29 51 {'t': [17], 'w': [0.01]}
29 36 {'t': [26], 'w': [0.1]}
29 37 {'t': [26], 'w': [0.1]}
30 31 {'t': [1], 'w': [0.1]}
30 49 {'t': [2], 'w': [0.001]}
30 82 {'t': [12], 'w': [0.1]}
30 83 {'t': [16, 42, 59], 'w': [0.001, 0.001, 0.001]}
30 38 {'t': [22], 'w': [0.1]}
30 42 {'t': [34], 'w': [0.01]}
30 76 {'t': [37], 'w': [0.01]}
30 18 {'t': [38], 'w': [0.07597701601794639]}
30 11 {'t': [39], 'w': [0.08622206581031146]}
30 21 {'t': [44], 'w': [0.001]}
30 73 {'t': [47], 'w': [0.001]}
30 43 {'t': [48], 'w': [0.1]}
30 4 {'t': [50], 'w': [0.1]}
30 0 {'t': [53], 'w': [0.001]}
30 2 {'t': [54], 'w': [0.1]}
30 64 {'t': [56], 'w': [0.001]}
30 23 {'t': [59], 'w': [0.1]}
31 69 {'t': [5], 'w': [0.1]}
31 71 {'t': [17], 'w': [0.1]}
31 48 {'t': [31], 'w': [0.3065521915951197]}
31 74 {'t': [37], 'w': [0.01]}
31 37 {'t': [39], 'w': [0.001]}
31 52 {'t': [54], 'w': [0.1]}
32 33 {'t': [1], 'w': [0.1]}
32 72 {'t': [14], 'w': [0.001]}
32 62 {'t': [18], 'w': [0.1]}
32 35 {'t': [26], 'w': [0.001]}
32 12 {'t': [34], 'w': [0.07118597211800481]}
32 2 {'t': [35], 'w': [0.08150219736316419]}
32 71 {'t': [40], 'w': [0.001]}
32 41 {'t': [49], 'w': [0.1]}
32 8 {'t': [53], 'w': [0.001]}
32 14 {'t': [57], 'w': [0.001]}
32 10 {'t': [66], 'w': [0.01]}
33 67 {'t': [19], 'w': [0.001]}
33 55 {'t': [22], 'w': [0.1]}
33 35 {'t': [27], 'w': [0.1]}
33 24 {'t': [31], 'w': [0.1]}
33 8 {'t': [33], 'w': [0.1]}
33 59 {'t': [53], 'w': [0.01]}
33 11 {'t': [58], 'w': [0.01]}
33 37 {'t': [65], 'w': [0.01]}
33 15 {'t': [65], 'w': [0.1]}
33 47 {'t': [67], 'w': [0.08926227356261485]}
34 35 {'t': [1, 27], 'w': [0.001, 0.001]}
34 73 {'t': [7], 'w': [0.01]}
34 25 {'t': [18], 'w': [0.001]}
34 51 {'t': [42], 'w': [0.001]}
34 50 {'t': [52, 57], 'w': [0.1, 0.1]}
34 79 {'t': [55], 'w': [0.001]}
34 70 {'t': [62], 'w': [0.15420514996246862]}
35 1 {'t': [6], 'w': [0.01]}
35 79 {'t': [7], 'w': [0.01]}
35 66 {'t': [18], 'w': [0.047959443407432543]}
35 27 {'t': [28], 'w': [0.08552489177489178]}
35 55 {'t': [40], 'w': [0.1]}
36 11 {'t': [1], 'w': [0.005982755586837938]}
36 40 {'t': [4], 'w': [0.001]}
36 9 {'t': [7], 'w': [0.01]}
36 34 {'t': [18], 'w': [0.01]}
36 8 {'t': [23], 'w': [0.04091031430365741]}
36 58 {'t': [25], 'w': [0.001]}
36 69 {'t': [26], 'w': [0.01]}
36 16 {'t': [35], 'w': [0.01]}
36 60 {'t': [35], 'w': [0.001]}
36 61 {'t': [42], 'w': [0.1]}
36 75 {'t': [48], 'w': [0.001]}
36 54 {'t': [49], 'w': [0.01]}
36 55 {'t': [59], 'w': [0.1182953339062737]}
36 31 {'t': [66], 'w': [0.1]}
36 23 {'t': [66], 'w': [0.01]}
37 14 {'t': [1], 'w': [0.004990917264536964]}
37 72 {'t': [6], 'w': [0.1]}
37 36 {'t': [13], 'w': [0.03186022610483043]}
37 5 {'t': [17, 65], 'w': [0.1, 0.1]}
37 27 {'t': [18], 'w': [0.1]}
37 23 {'t': [19, 31], 'w': [0.13232114101679318, 0.13232114101679318]}
37 17 {'t': [20], 'w': [0.1]}
37 10 {'t': [20], 'w': [0.05028653295128941]}
37 80 {'t': [26], 'w': [0.16819125652393513]}
37 42 {'t': [28], 'w': [0.1]}
37 49 {'t': [36], 'w': [0.001]}
37 19 {'t': [41], 'w': [0.1]}
37 66 {'t': [58], 'w': [0.09886730018666212]}
37 40 {'t': [59], 'w': [0.001]}
38 10 {'t': [1, 21, 32], 'w': [0.01, 0.01, 0.01]}
38 82 {'t': [8], 'w': [0.1]}
38 18 {'t': [16], 'w': [0.1]}
38 54 {'t': [20, 55], 'w': [0.001, 0.001]}
38 39 {'t': [25], 'w': [0.11974668969487624]}
38 47 {'t': [49], 'w': [0.1]}
38 1 {'t': [49], 'w': [0.01]}
38 32 {'t': [57], 'w': [0.001]}
39 40 {'t': [1], 'w': [0.01]}
39 6 {'t': [1], 'w': [0.1]}
39 24 {'t': [13], 'w': [0.001]}
39 31 {'t': [16], 'w': [0.1]}
39 14 {'t': [24], 'w': [0.01]}
39 65 {'t': [26], 'w': [0.1]}
39 18 {'t': [44], 'w': [0.08235270966980203]}
39 77 {'t': [59], 'w': [0.09296781883194277]}
39 66 {'t': [61], 'w': [0.09994909214322076]}
40 67 {'t': [13], 'w': [0.05296558457407861]}
40 76 {'t': [14], 'w': [0.001]}
40 57 {'t': [14], 'w': [0.059195328542094465]}
40 61 {'t': [14], 'w': [0.001]}
40 49 {'t': [22], 'w': [0.001]}
40 17 {'t': [34], 'w': [0.001]}
40 21 {'t': [42], 'w': [0.11012265804016715]}
40 30 {'t': [47], 'w': [0.001]}
40 43 {'t': [49], 'w': [0.1]}
40 23 {'t': [49], 'w': [0.01]}
41 42 {'t': [1], 'w': [0.001]}
41 43 {'t': [1], 'w': [0.006520905255082471]}
41 47 {'t': [2], 'w': [0.01]}
41 71 {'t': [9], 'w': [0.1]}
41 25 {'t': [10, 53, 65], 'w': [0.2583289009235531, 0.2583289009235531, 0.2583289009235531]}
41 7 {'t': [11], 'w': [0.01]}
41 0 {'t': [12, 32], 'w': [0.001, 0.001]}
41 63 {'t': [14], 'w': [0.05723947507213104]}
41 60 {'t': [17], 'w': [0.001]}
41 18 {'t': [39], 'w': [0.001]}
41 29 {'t': [42], 'w': [0.1]}
41 10 {'t': [57], 'w': [0.1]}
41 13 {'t': [57], 'w': [0.01]}
41 12 {'t': [66], 'w': [0.001]}
42 61 {'t': [8], 'w': [0.1]}
42 12 {'t': [10], 'w': [0.01]}
42 56 {'t': [13], 'w': [0.01]}
42 77 {'t': [14, 54], 'w': [0.01, 0.01]}
42 29 {'t': [18], 'w': [0.01]}
42 15 {'t': [29], 'w': [0.01]}
42 23 {'t': [33], 'w': [0.01]}
42 19 {'t': [34], 'w': [0.1]}
42 14 {'t': [34], 'w': [0.001]}
42 37 {'t': [35], 'w': [0.001]}
42 30 {'t': [45], 'w': [0.1]}
42 21 {'t': [52], 'w': [0.12144493867097993]}
42 59 {'t': [55], 'w': [0.01]}
42 71 {'t': [65], 'w': [0.01]}
43 39 {'t': [3], 'w': [0.022041286289990965]}
43 40 {'t': [4, 46], 'w': [0.1, 0.1]}
43 7 {'t': [23], 'w': [0.1]}
43 4 {'t': [26], 'w': [0.01]}
43 17 {'t': [30], 'w': [0.06757527604612312]}
43 1 {'t': [34], 'w': [0.01]}
43 49 {'t': [52], 'w': [0.001]}
43 78 {'t': [54], 'w': [0.1]}
43 35 {'t': [56], 'w': [0.01]}
43 50 {'t': [59], 'w': [0.11213609680124595]}
43 57 {'t': [61], 'w': [0.15118069815195073]}
44 45 {'t': [1], 'w': [0.007970228851056348]}
44 61 {'t': [3, 9], 'w': [0.001, 0.001]}
44 59 {'t': [3], 'w': [0.001]}
44 14 {'t': [17], 'w': [0.001]}
44 72 {'t': [23], 'w': [0.001]}
44 78 {'t': [23, 28], 'w': [0.01, 0.01]}
44 68 {'t': [25], 'w': [0.01]}
44 37 {'t': [40], 'w': [0.1]}
44 8 {'t': [47], 'w': [0.01]}
44 24 {'t': [50], 'w': [0.08163453046806003]}
44 74 {'t': [60], 'w': [0.01]}
45 50 {'t': [2], 'w': [0.009704085300107827]}
45 22 {'t': [4], 'w': [0.001]}
45 73 {'t': [13], 'w': [0.001]}
45 80 {'t': [13], 'w': [0.01]}
45 51 {'t': [21], 'w': [0.001]}
45 29 {'t': [29], 'w': [0.01]}
45 41 {'t': [31], 'w': [0.09108485499462944]}
45 52 {'t': [38], 'w': [0.1]}
45 26 {'t': [40], 'w': [0.01]}
45 78 {'t': [41], 'w': [0.001]}
45 58 {'t': [42], 'w': [0.01]}
45 6 {'t': [45], 'w': [0.12438644446403906]}
45 12 {'t': [47], 'w': [0.1]}
45 37 {'t': [53], 'w': [0.001]}
45 32 {'t': [55], 'w': [0.001]}
45 47 {'t': [56], 'w': [0.1]}
46 0 {'t': [2], 'w': [0.001]}
46 60 {'t': [9], 'w': [0.01]}
46 51 {'t': [14], 'w': [0.045444469075593005]}
46 83 {'t': [24], 'w': [0.01]}
46 40 {'t': [30], 'w': [0.06391136801541424]}
46 62 {'t': [34], 'w': [0.001]}
46 47 {'t': [35], 'w': [0.01]}
46 22 {'t': [41], 'w': [0.001]}
46 21 {'t': [44], 'w': [0.1]}
46 43 {'t': [56], 'w': [0.01]}
46 15 {'t': [57], 'w': [0.001]}
46 68 {'t': [58], 'w': [0.01]}
46 80 {'t': [64], 'w': [0.1]}
46 11 {'t': [66], 'w': [0.10463223649480907]}
46 10 {'t': [68], 'w': [0.09744167007777324]}
46 12 {'t': [68], 'w': [0.1]}
47 7 {'t': [2, 11], 'w': [0.001, 0.001]}
47 9 {'t': [7], 'w': [0.01]}
47 68 {'t': [8], 'w': [0.02766459360926442]}
47 0 {'t': [14, 25], 'w': [0.15160303397284722, 0.15160303397284722]}
47 36 {'t': [17, 43], 'w': [0.11554837762443104, 0.11554837762443104]}
47 55 {'t': [20], 'w': [0.001]}
47 28 {'t': [24], 'w': [0.001]}
47 83 {'t': [25], 'w': [0.001]}
47 20 {'t': [25], 'w': [0.001]}
47 45 {'t': [29], 'w': [0.01]}
47 27 {'t': [46], 'w': [0.1]}
48 6 {'t': [2], 'w': [0.01]}
48 35 {'t': [7, 65], 'w': [0.001, 0.001]}
48 77 {'t': [22, 65], 'w': [0.001, 0.001]}
48 52 {'t': [27], 'w': [0.01]}
48 55 {'t': [42], 'w': [0.10325564936049746]}
48 70 {'t': [51], 'w': [0.14594823928722955]}
48 14 {'t': [52], 'w': [0.1]}
48 54 {'t': [67], 'w': [0.01]}
49 70 {'t': [11], 'w': [0.1]}
49 42 {'t': [20], 'w': [0.01]}
49 68 {'t': [22], 'w': [0.06302571067743704]}
49 22 {'t': [33], 'w': [0.001]}
49 41 {'t': [34, 44], 'w': [0.20918367346938777, 0.20918367346938777]}
49 37 {'t': [43, 62], 'w': [0.01, 0.01]}
49 35 {'t': [44], 'w': [0.07668346312414108]}
49 17 {'t': [48], 'w': [0.01]}
49 36 {'t': [50], 'w': [0.01]}
49 27 {'t': [52], 'w': [0.1]}
49 83 {'t': [58], 'w': [0.01]}
50 51 {'t': [27], 'w': [0.1]}
50 34 {'t': [29], 'w': [0.07334133146207303]}
50 82 {'t': [36], 'w': [0.09048426150121067]}
50 40 {'t': [39], 'w': [0.07552986512524083]}
50 8 {'t': [50], 'w': [0.06634468734112862]}
50 27 {'t': [50], 'w': [0.01]}
50 28 {'t': [53], 'w': [0.001]}
50 12 {'t': [53], 'w': [0.1]}
50 58 {'t': [61], 'w': [0.10812795447244021]}
51 40 {'t': [2, 38], 'w': [0.0821965317919075, 0.0821965317919075]}
51 68 {'t': [5, 22], 'w': [0.001, 0.001]}
51 82 {'t': [16], 'w': [0.1]}
51 58 {'t': [23], 'w': [0.06278397356464271]}
51 44 {'t': [24], 'w': [0.001]}
51 17 {'t': [30], 'w': [0.06757527604612312]}
51 4 {'t': [46], 'w': [0.09185996563573881]}
51 18 {'t': [61], 'w': [0.0927230508874808]}
52 46 {'t': [2, 56], 'w': [0.001, 0.001]}
52 16 {'t': [2], 'w': [0.01]}
52 5 {'t': [6, 33], 'w': [0.001, 0.001]}
52 18 {'t': [11], 'w': [0.001]}
52 37 {'t': [34], 'w': [0.1]}
52 33 {'t': [47], 'w': [0.01]}
52 19 {'t': [49], 'w': [0.001]}
52 82 {'t': [51], 'w': [0.01]}
52 77 {'t': [52], 'w': [0.01]}
52 2 {'t': [57], 'w': [0.01]}
52 68 {'t': [57], 'w': [0.11056306145304644]}
52 50 {'t': [58], 'w': [0.001]}
52 34 {'t': [64], 'w': [0.01]}
53 54 {'t': [2], 'w': [0.1]}
