0 1 {'t': [0], 'w': [0.01]}
11 27 {'t': [3], 'w': [0.01]}
11 20 {'t': [11], 'w': [0.1]}
11 45 {'t': [26], 'w': [0.13593686215811676]}
11 48 {'t': [26], 'w': [0.001]}
11 24 {'t': [31], 'w': [0.1]}
11 9 {'t': [37], 'w': [0.001]}
11 43 {'t': [41], 'w': [0.1]}
11 5 {'t': [49, 56], 'w': [0.001, 0.001]}
11 41 {'t': [51], 'w': [0.001]}
11 29 {'t': [52], 'w': [0.001]}
11 28 {'t': [57], 'w': [0.1]}
12 7 {'t': [5], 'w': [0.1]}
12 17 {'t': [13], 'w': [0.049342011767046605]}
12 54 {'t': [22], 'w': [0.0769790454016298]}
12 0 {'t': [23], 'w': [0.1]}
12 39 {'t': [37, 66], 'w': [0.001, 0.001]}
12 23 {'t': [40], 'w': [0.01]}
12 11 {'t': [47], 'w': [0.1]}
12 24 {'t': [51], 'w': [0.1]}
12 51 {'t': [51, 61], 'w': [0.001, 0.001]}
12 36 {'t': [67], 'w': [0.001]}
13 14 {'t': [1, 68], 'w': [0.01, 0.01]}
13 10 {'t': [5], 'w': [0.001]}
13 32 {'t': [19], 'w': [0.01]}
13 16 {'t': [29], 'w': [0.001]}
13 23 {'t': [30], 'w': [0.001]}
13 27 {'t': [33], 'w': [0.1502443169747185]}
13 26 {'t': [39], 'w': [0.001]}
13 38 {'t': [55], 'w': [0.1]}
13 36 {'t': [64], 'w': [0.1]}
14 9 {'t': [5], 'w': [0.030066054210006837]}
14 26 {'t': [7], 'w': [0.05960568546538286]}
14 2 {'t': [27], 'w': [0.001]}
14 1 {'t': [28, 55], 'w': [0.01, 0.01]}
14 11 {'t': [29], 'w': [0.17763157894736845]}
14 17 {'t': [31], 'w': [0.001]}
14 12 {'t': [35], 'w': [0.001]}
14 16 {'t': [48], 'w': [0.001]}
14 33 {'t': [49], 'w': [0.01]}
14 15 {'t': [53], 'w': [0.01]}
14 51 {'t': [57], 'w': [0.10003665135933423]}
15 13 {'t': [1], 'w': [0.013852813852813855]}
15 45 {'t': [16], 'w': [0.01]}
15 25 {'t': [21], 'w': [0.12485322896281799]}
15 36 {'t': [47], 'w': [0.11379201348646086]}
15 53 {'t': [54], 'w': [0.187082496618991]}
15 24 {'t': [54], 'w': [0.1]}
16 17 {'t': [1], 'w': [0.00773100645197965]}
16 18 {'t': [21], 'w': [0.001]}
16 52 {'t': [29], 'w': [0.01]}
16 30 {'t': [35], 'w': [0.001]}
16 22 {'t': [45], 'w': [0.14567484768166325]}
16 6 {'t': [48], 'w': [0.001]}
16 47 {'t': [48], 'w': [0.1]}
17 28 {'t': [4], 'w': [0.001]}
17 12 {'t': [19], 'w': [0.01]}
17 5 {'t': [26, 51], 'w': [0.27380035925070567, 0.27380035925070567]}
17 18 {'t': [29], 'w': [0.001]}
17 15 {'t': [35], 'w': [0.01]}
17 36 {'t': [38], 'w': [0.01]}
17 47 {'t': [43], 'w': [0.001]}
17 50 {'t': [47], 'w': [0.01]}
18 13 {'t': [1, 8], 'w': [0.07298192004074358, 0.07298192004074358]}
18 19 {'t': [1], 'w': [0.01]}
18 47 {'t': [9], 'w': [0.1]}
18 24 {'t': [20, 52], 'w': [0.16619321572652834, 0.16619321572652834]}
18 27 {'t': [22], 'w': [0.001]}
18 12 {'t': [45], 'w': [0.01]}
18 28 {'t': [46], 'w': [0.1]}
18 23 {'t': [65], 'w': [0.01]}
19 50 {'t': [17], 'w': [0.01]}
19 44 {'t': [45], 'w': [0.10742207330693469]}
19 5 {'t': [53], 'w': [0.01]}
20 9 {'t': [1], 'w': [0.010325715587275073]}
20 12 {'t': [33], 'w': [0.09384537806205047]}
20 40 {'t': [60], 'w': [0.1]}
20 4 {'t': [62], 'w': [0.18037793472036648]}
21 6 {'t': [2], 'w': [0.015486387274395845]}
21 29 {'t': [22], 'w': [0.01]}
21 34 {'t': [23], 'w': [0.1]}
21 52 {'t': [31], 'w': [0.001]}
21 28 {'t': [31], 'w': [0.001]}
21 51 {'t': [42], 'w': [0.001]}
21 7 {'t': [44], 'w': [0.001]}
21 43 {'t': [54], 'w': [0.01]}
22 23 {'t': [2], 'w': [0.1]}
22 11 {'t': [5], 'w': [0.04342105263157896]}
22 37 {'t': [12], 'w': [0.06199923693246852]}
22 51 {'t': [12, 20], 'w': [0.01, 0.01]}
22 53 {'t': [19], 'w': [0.0967173476496865]}
22 38 {'t': [21], 'w': [0.1]}
22 52 {'t': [24], 'w': [0.0899566934148516]}
22 0 {'t': [31], 'w': [0.1]}
22 17 {'t': [51], 'w': [0.01]}
22 31 {'t': [57], 'w': [0.1]}
22 19 {'t': [60], 'w': [0.001]}
22 20 {'t': [66], 'w': [0.01]}
23 6 {'t': [21], 'w': [0.001]}
23 25 {'t': [28], 'w': [0.001]}
23 40 {'t': [28], 'w': [0.1]}
23 22 {'t': [29], 'w': [0.001]}
23 49 {'t': [29], 'w': [0.001]}
23 28 {'t': [59], 'w': [0.1]}
24 25 {'t': [2], 'w': [0.1]}
24 32 {'t': [7], 'w': [0.01]}
24 51 {'t': [11], 'w': [0.001]}
24 10 {'t': [19], 'w': [0.001]}
24 26 {'t': [35], 'w': [0.1]}
24 54 {'t': [38], 'w': [0.1]}
24 44 {'t': [43], 'w': [0.01]}
24 43 {'t': [50], 'w': [0.1]}
24 16 {'t': [52], 'w': [0.10933669878406913]}
24 40 {'t': [62, 66], 'w': [0.01, 0.01]}
25 3 {'t': [34], 'w': [0.15517389807162535]}
25 34 {'t': [35], 'w': [0.13111007962295138]}
25 10 {'t': [45], 'w': [0.1]}
25 1 {'t': [58], 'w': [0.01]}
26 24 {'t': [3], 'w': [0.012795111121720661]}
26 7 {'t': [8], 'w': [0.01]}
26 29 {'t': [17], 'w': [0.0919892679187428]}
26 22 {'t': [27], 'w': [0.1]}
26 21 {'t': [31], 'w': [0.1]}
26 54 {'t': [39], 'w': [0.01]}
26 15 {'t': [40], 'w': [0.1]}
26 44 {'t': [42], 'w': [0.001]}
26 19 {'t': [65], 'w': [0.1]}
27 2 {'t': [4], 'w': [0.01]}
27 51 {'t': [19], 'w': [0.01]}
27 10 {'t': [30], 'w': [0.001]}
27 14 {'t': [31], 'w': [0.12079341903778355]}
27 13 {'t': [41], 'w': [0.2053475935828877]}
27 6 {'t': [42], 'w': [0.15620220250841235]}
27 7 {'t': [64], 'w': [0.1]}
28 29 {'t': [3], 'w': [0.001]}
28 2 {'t': [16], 'w': [0.1]}
28 53 {'t': [20], 'w': [0.10069259456579649]}
28 39 {'t': [23], 'w': [0.001]}
28 35 {'t': [24], 'w': [0.1]}
28 33 {'t': [32], 'w': [0.17186647487723825]}
28 54 {'t': [37], 'w': [0.01]}
28 40 {'t': [47], 'w': [0.11099406490069628]}
28 37 {'t': [50], 'w': [0.01]}
29 1 {'t': [4], 'w': [0.029225630658345794]}
29 10 {'t': [4, 46], 'w': [0.01, 0.01]}
29 7 {'t': [4], 'w': [0.1]}
29 41 {'t': [6], 'w': [0.058485872823521905]}
29 20 {'t': [21], 'w': [0.1]}
29 36 {'t': [35], 'w': [0.1]}
29 16 {'t': [37, 63], 'w': [0.001, 0.001]}
29 39 {'t': [38], 'w': [0.001]}
29 2 {'t': [44], 'w': [0.01]}
29 37 {'t': [62], 'w': [0.18027470431133155]}
29 33 {'t': [63], 'w': [0.1]}
29 5 {'t': [64], 'w': [0.001]}
30 19 {'t': [3], 'w': [0.001]}
30 22 {'t': [15], 'w': [0.01]}
30 0 {'t': [24], 'w': [0.001]}
30 34 {'t': [29], 'w': [0.1]}
30 9 {'t': [39], 'w': [0.01]}
30 26 {'t': [43], 'w': [0.01]}
30 35 {'t': [46], 'w': [0.001]}
30 37 {'t': [54], 'w': [0.001]}
30 3 {'t': [56], 'w': [0.1]}
30 48 {'t': [64], 'w': [0.01]}
31 32 {'t': [4], 'w': [0.001]}
31 25 {'t': [17], 'w': [0.001]}
31 41 {'t': [39], 'w': [0.001]}
31 30 {'t': [40], 'w': [0.001]}
31 9 {'t': [43], 'w': [0.001]}
31 24 {'t': [48], 'w': [0.001]}
31 34 {'t': [52], 'w': [0.16085264398186164]}
31 35 {'t': [52], 'w': [0.001]}
31 11 {'t': [55], 'w': [0.1]}
31 12 {'t': [57], 'w': [0.01]}
32 47 {'t': [7], 'w': [0.01]}
32 41 {'t': [12], 'w': [0.10364181389119204]}
32 48 {'t': [22], 'w': [0.12811198295069262]}
32 51 {'t': [30], 'w': [0.01]}
32 6 {'t': [64], 'w': [0.001]}
33 34 {'t': [4], 'w': [0.001]}
33 25 {'t': [7], 'w': [0.01]}
33 49 {'t': [8], 'w': [0.08741153440746875]}
33 48 {'t': [34], 'w': [0.001]}
33 27 {'t': [39], 'w': [0.01]}
33 40 {'t': [49], 'w': [0.1]}
33 19 {'t': [56], 'w': [0.1]}
33 54 {'t': [58], 'w': [0.001]}
34 48 {'t': [15], 'w': [0.09454615906228811]}
34 0 {'t': [36], 'w': [0.001]}
34 54 {'t': [57], 'w': [0.01]}
34 31 {'t': [68], 'w': [0.001]}
35 24 {'t': [4], 'w': [0.01]}
35 32 {'t': [17], 'w': [0.1]}
35 14 {'t': [22], 'w': [0.001]}
35 54 {'t': [27], 'w': [0.001]}
35 46 {'t': [54], 'w': [0.01]}
35 38 {'t': [55], 'w': [0.01]}
35 21 {'t': [63], 'w': [0.001]}
36 37 {'t': [5], 'w': [0.030217474246470817]}
36 48 {'t': [8], 'w': [0.1]}
36 43 {'t': [24], 'w': [0.01]}
36 46 {'t': [25, 64], 'w': [0.01, 0.01]}
36 7 {'t': [38], 'w': [0.001]}
36 25 {'t': [42], 'w': [0.01]}
36 39 {'t': [49], 'w': [0.1477700161203654]}
36 30 {'t': [67], 'w': [0.21913267654912072]}
37 44 {'t': [6], 'w': [0.1]}
37 16 {'t': [11], 'w': [0.001]}
37 1 {'t': [32], 'w': [0.1]}
37 18 {'t': [40], 'w': [0.20819809444037277]}
37 20 {'t': [51, 54], 'w': [0.227123074216492, 0.227123074216492]}
38 14 {'t': [5], 'w': [0.01]}
38 40 {'t': [29], 'w': [0.001]}
38 32 {'t': [29], 'w': [0.01]}
38 36 {'t': [32], 'w': [0.1]}
38 22 {'t': [53], 'w': [0.15613920346976007]}
38 31 {'t': [60], 'w': [0.1]}
38 53 {'t': [63], 'w': [0.19409040613089626]}
39 6 {'t': [5], 'w': [0.001]}
39 13 {'t': [6], 'w': [0.01]}
39 31 {'t': [11], 'w': [0.01]}
39 25 {'t': [17], 'w': [0.01]}
39 4 {'t': [27], 'w': [0.01]}
39 46 {'t': [30], 'w': [0.01]}
39 15 {'t': [47], 'w': [0.261738867009997]}
40 11 {'t': [5], 'w': [0.01]}
40 50 {'t': [10], 'w': [0.01]}
40 49 {'t': [17], 'w': [0.01]}
40 3 {'t': [21], 'w': [0.10984848484848485]}
40 52 {'t': [22], 'w': [0.1]}
40 7 {'t': [32], 'w': [0.1]}
40 45 {'t': [35], 'w': [0.1]}
40 24 {'t': [37], 'w': [0.09071160869876584]}
40 4 {'t': [46], 'w': [0.01]}
40 17 {'t': [53], 'w': [0.12892590171389592]}
40 47 {'t': [54], 'w': [0.01]}
40 51 {'t': [62], 'w': [0.10186921932604619]}
41 42 {'t': [5], 'w': [0.058614564831261116]}
41 44 {'t': [25], 'w': [0.1]}
41 32 {'t': [34], 'w': [0.001]}
41 52 {'t': [38, 45], 'w': [0.01, 0.01]}
41 30 {'t': [39], 'w': [0.18046220421692297]}
41 21 {'t': [50], 'w': [0.001]}
41 2 {'t': [59], 'w': [0.01]}
41 47 {'t': [60], 'w': [0.01]}
41 27 {'t': [64], 'w': [0.001]}
42 12 {'t': [13, 59], 'w': [0.17028052761485177, 0.17028052761485177]}
42 50 {'t': [13], 'w': [0.1]}
42 21 {'t': [17], 'w': [0.1]}
42 20 {'t': [18], 'w': [0.1]}
42 36 {'t': [29], 'w': [0.08534401011484564]}
42 54 {'t': [31], 'w': [0.001]}
42 51 {'t': [32], 'w': [0.07470409417243387]}
42 10 {'t': [37], 'w': [0.001]}
42 47 {'t': [38, 65], 'w': [0.25823763979252234, 0.25823763979252234]}
42 11 {'t': [45], 'w': [0.001]}
42 29 {'t': [50], 'w': [0.001]}
43 25 {'t': [5], 'w': [0.01]}
43 18 {'t': [9], 'w': [0.06700869018950897]}
43 32 {'t': [42], 'w': [0.001]}
43 12 {'t': [48], 'w': [0.1]}
43 28 {'t': [64], 'w': [0.11675688976377953]}
44 43 {'t': [9], 'w': [0.05857855475721935]}
44 20 {'t': [43], 'w': [0.10394832742717837]}
44 3 {'t': [47], 'w': [0.001]}
44 4 {'t': [55], 'w': [0.1753006298912006]}
45 40 {'t': [6], 'w': [0.023560545720819098]}
45 43 {'t': [7], 'w': [0.01]}
45 17 {'t': [25], 'w': [0.01]}
45 20 {'t': [38], 'w': [0.0970368694865415]}
45 44 {'t': [41], 'w': [0.10234541577825158]}
45 0 {'t': [43], 'w': [0.1706622653187539]}
46 28 {'t': [7], 'w': [0.001]}
46 6 {'t': [8], 'w': [0.1]}
46 48 {'t': [9], 'w': [0.01]}
46 8 {'t': [19], 'w': [0.38675843985578495]}
46 20 {'t': [23], 'w': [0.001]}
46 0 {'t': [36], 'w': [0.15419847328244277]}
46 52 {'t': [40], 'w': [0.1]}
46 49 {'t': [48], 'w': [0.001]}
47 48 {'t': [18], 'w': [0.01]}
47 6 {'t': [25], 'w': [0.1]}
47 32 {'t': [35], 'w': [0.01]}
47 14 {'t': [37], 'w': [0.01]}
47 50 {'t': [49], 'w': [0.19918515165233136]}
47 51 {'t': [63], 'w': [0.10210637518056184]}
47 24 {'t': [64], 'w': [0.1]}
47 2 {'t': [68], 'w': [0.001]}
48 2 {'t': [31], 'w': [0.13275409964384957]}
48 8 {'t': [34], 'w': [0.001]}
48 0 {'t': [35], 'w': [0.1515164018980813]}
48 16 {'t': [35], 'w': [0.001]}
48 21 {'t': [39], 'w': [0.01]}
48 39 {'t': [57], 'w': [0.001]}
48 42 {'t': [61], 'w': [0.1]}
49 9 {'t': [11], 'w': [0.0573988307645585]}
49 5 {'t': [11], 'w': [0.001]}
49 53 {'t': [16], 'w': [0.1]}
49 1 {'t': [28], 'w': [0.01]}
49 33 {'t': [29], 'w': [0.16070631417092407]}
49 16 {'t': [31], 'w': [0.001]}
49 14 {'t': [60], 'w': [0.16726612300131763]}
50 30 {'t': [8], 'w': [0.001]}
50 7 {'t': [40], 'w': [0.001]}
50 20 {'t': [65], 'w': [0.01]}
51 36 {'t': [9], 'w': [0.03371615214413655]}
51 3 {'t': [32], 'w': [0.1491477272727273]}
51 19 {'t': [33], 'w': [0.01]}
51 40 {'t': [51], 'w': [0.001]}
51 47 {'t': [58], 'w': [0.001]}
51 17 {'t': [63], 'w': [0.01]}
52 46 {'t': [10], 'w': [0.1]}
52 12 {'t': [32], 'w': [0.1]}
52 21 {'t': [33], 'w': [0.1]}
52 54 {'t': [48], 'w': [0.01]}
52 28 {'t': [49], 'w': [0.10826771653543307]}
53 39 {'t': [10], 'w': [0.1]}
53 2 {'t': [20], 'w': [0.001]}
53 44 {'t': [26], 'w': [0.001]}
53 27 {'t': [33], 'w': [0.01]}
53 19 {'t': [41], 'w': [0.001]}
53 32 {'t': [42], 'w': [0.1639771997430957]}
53 9 {'t': [45], 'w': [0.001]}
53 12 {'t': [62], 'w': [0.01]}
53 31 {'t': [63], 'w': [0.01]}
54 1 {'t': [25], 'w': [0.1279774984618089]}
54 43 {'t': [35], 'w': [0.001]}
54 45 {'t': [68], 'w': [0.001]}
54 4 {'t': [68], 'w': [0.001]}
54 35 {'t': [68], 'w': [0.01]}
